方法名称1,方法名称2,方法参数,返回值类型,链接
LastWeekOfMonth.,week,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.week.html
LastWeekOfMonth.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.rule_code.html
LastWeekOfMonth.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.copy.html
LastWeekOfMonth.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.n.html
LastWeekOfMonth.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_anchored.html
LastWeekOfMonth.,weekday,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.weekday.html
LastWeekOfMonth.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_on_offset.html
LastWeekOfMonth.,week,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.week.html
LastWeekOfMonth.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_month_start.html
LastWeekOfMonth.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.copy.html
LastWeekOfMonth.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_month_end.html
LastWeekOfMonth.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_anchored.html
LastWeekOfMonth.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_quarter_start.html
LastWeekOfMonth.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_on_offset.html
LastWeekOfMonth.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_quarter_end.html
LastWeekOfMonth.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_month_start.html
LastWeekOfMonth.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_year_start.html
LastWeekOfMonth.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_month_end.html
LastWeekOfMonth.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_year_end.html
LastWeekOfMonth.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_quarter_start.html
pandas.tseries.offsets.,BQuarterEnd,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.html
LastWeekOfMonth.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_quarter_end.html
BQuarterEnd.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.freqstr.html
LastWeekOfMonth.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_year_start.html
BQuarterEnd.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.kwds.html
LastWeekOfMonth.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.LastWeekOfMonth.is_year_end.html
BQuarterEnd.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.name.html
pandas.tseries.offsets.,BQuarterEnd,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.html
BQuarterEnd.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.nanos.html
BQuarterEnd.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.freqstr.html
BQuarterEnd.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.kwds.html
BQuarterEnd.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.normalize.html
BQuarterEnd.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.name.html
BQuarterEnd.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.rule_code.html
BQuarterEnd.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.nanos.html
BQuarterEnd.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.n.html
BQuarterEnd.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.normalize.html
BQuarterEnd.,startingMonth,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.startingMonth.html
BQuarterEnd.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.rule_code.html
BQuarterEnd.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.copy.html
BQuarterEnd.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.n.html
BQuarterEnd.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_anchored.html
BQuarterEnd.,startingMonth,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.startingMonth.html
BQuarterEnd.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_on_offset.html
BQuarterEnd.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_month_start.html
BQuarterEnd.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.copy.html
BQuarterEnd.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_month_end.html
BQuarterEnd.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_anchored.html
BQuarterEnd.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_quarter_start.html
BQuarterEnd.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_on_offset.html
BQuarterEnd.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_month_start.html
BQuarterEnd.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_quarter_end.html
BQuarterEnd.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_month_end.html
BQuarterEnd.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_year_start.html
BQuarterEnd.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_year_end.html
BQuarterEnd.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_quarter_start.html
pandas.tseries.offsets.,BQuarterBegin,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.html
BQuarterEnd.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_quarter_end.html
BQuarterEnd.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_year_start.html
BQuarterBegin.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.freqstr.html
BQuarterEnd.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterEnd.is_year_end.html
BQuarterBegin.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.kwds.html
BQuarterBegin.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.name.html
pandas.tseries.offsets.,BQuarterBegin,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.html
BQuarterBegin.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.freqstr.html
BQuarterBegin.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.nanos.html
BQuarterBegin.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.normalize.html
BQuarterBegin.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.kwds.html
BQuarterBegin.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.rule_code.html
BQuarterBegin.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.name.html
BQuarterBegin.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.n.html
BQuarterBegin.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.nanos.html
BQuarterBegin.,startingMonth,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.startingMonth.html
BQuarterBegin.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.normalize.html
BQuarterBegin.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.copy.html
BQuarterBegin.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.rule_code.html
BQuarterBegin.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_anchored.html
BQuarterBegin.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.n.html
BQuarterBegin.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_on_offset.html
BQuarterBegin.,startingMonth,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.startingMonth.html
BQuarterBegin.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_month_start.html
BQuarterBegin.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.copy.html
BQuarterBegin.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_month_end.html
BQuarterBegin.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_anchored.html
BQuarterBegin.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_quarter_start.html
BQuarterBegin.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_on_offset.html
BQuarterBegin.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_quarter_end.html
BQuarterBegin.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_month_start.html
BQuarterBegin.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_year_start.html
BQuarterBegin.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_month_end.html
BQuarterBegin.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_year_end.html
BQuarterBegin.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_quarter_start.html
pandas.tseries.offsets.,QuarterEnd,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.html
BQuarterBegin.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_quarter_end.html
QuarterEnd.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.freqstr.html
BQuarterBegin.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_year_start.html
QuarterEnd.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.kwds.html
BQuarterBegin.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BQuarterBegin.is_year_end.html
QuarterEnd.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.name.html
pandas.tseries.offsets.,QuarterEnd,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.html
QuarterEnd.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.nanos.html
QuarterEnd.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.freqstr.html
QuarterEnd.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.normalize.html
QuarterEnd.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.kwds.html
QuarterEnd.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.rule_code.html
QuarterEnd.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.name.html
QuarterEnd.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.n.html
QuarterEnd.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.nanos.html
QuarterEnd.,startingMonth,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.startingMonth.html
QuarterEnd.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.normalize.html
QuarterEnd.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.copy.html
QuarterEnd.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.rule_code.html
QuarterEnd.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.is_anchored.html
QuarterEnd.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.n.html
QuarterEnd.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.is_on_offset.html
QuarterEnd.,startingMonth,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.startingMonth.html
QuarterEnd.,copy,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.copy.html
QuarterEnd.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.is_month_start.html
QuarterEnd.,is_anchored,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.is_anchored.html
QuarterEnd.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.is_month_end.html
QuarterEnd.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.QuarterEnd.is_on_offset.html
